Earlham,Shumba,Blessed,3,1.7,MSJ March Invitational,3/19/2022,High Jump,Jump
Earlham,Turner,David,1,1.6,MSJ March Invitational,3/19/2022,High Jump,Jump
Earlham,Ozanne,Josh,1,1.55,MSJ March Invitational,3/19/2022,High Jump,Jump
Franklin,Konkler,Tristan,1,1.85,'22 Rose-Hulman Early Bird Invitational,3/19/2022,High Jump,Jump
Rose-Hulman,Brownell,Kyle,2,2,'22 Rose-Hulman Early Bird Invitational,3/19/2022,High Jump,Jump
Rose-Hulman,Jaeger,Chris,4,1.65,'22 Rose-Hulman Early Bird Invitational,3/19/2022,High Jump,Jump
Earlham,Mahaney,John,4,50.53,MSJ March Invitational,3/19/2022,Javelin,Throw
Earlham,Wildes,Henry,1,29.77,MSJ March Invitational,3/19/2022,Javelin,Throw
Franklin,Wiley,Zak,3,37.39,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Javelin,Throw
Franklin,Arbogast,Jason,2,33.62,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Javelin,Throw
Franklin,Miles,Chase,2,31.81,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Javelin,Throw
Franklin,Erickson,Sam,2,24.93,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Javelin,Throw
Mount St. Joseph,Brophy,Decklan,2,45.86,MSJ March Invitational,3/19/2022,Javelin,Throw
Mount St. Joseph,Obert,Matt,2,39.4,MSJ March Invitational,3/19/2022,Javelin,Throw
Rose-Hulman,Lilje,Isaiah,4,48.84,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Javelin,Throw
Rose-Hulman,Bird,Jacob,2,42.49,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Javelin,Throw
Rose-Hulman,Smith,Nathan,3,36.89,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Javelin,Throw
Rose-Hulman,Brown,Rashard,3,33.83,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Javelin,Throw
Earlham,Shumba,Blessed,3,5.66,MSJ March Invitational,3/19/2022,Long Jump,Jump
Earlham,Turner,David,1,5.58,MSJ March Invitational,3/19/2022,Long Jump,Jump
Franklin,Roberts,Zachary,2,6.02,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Long Jump,Jump
Franklin,Brown,Jason,3,4.95,'22 Rose-Hulman Early Bird Invitational,3/19/2022,Long Jump,Jump
